,AutoARIMA,N-BEATS,Prophet,Best model
FFRS400X100E,0.0,1.0975609756097562,0.0,AutoARIMA
FFRS400X150E,0.7804878048780488,1.9024390243902438,1.1097560975609757,AutoARIMA
FFRS400X150E/16,0.12195121951219512,1.1219512195121952,0.12195121951219512,AutoARIMA
FFRS400X200E,1.5731707317073171,2.1341463414634148,1.3780487804878048,Prophet
FFRS400X200E/16,0.1951219512195122,1.4024390243902438,0.45121951219512196,AutoARIMA
FFRS400X250E,1.3902439024390243,2.0609756097560976,1.3170731707317074,Prophet
FFRS400X250E/16,0.1951219512195122,1.7439024390243902,0.3902439024390244,AutoARIMA
FFRS400X300E,2.8658536585365852,4.536585365853658,3.073170731707317,AutoARIMA
FFRS400X300E/16,1.3414634146341464,2.1341463414634148,1.3048780487804879,Prophet
FFRS400X350E,2.2439024390243905,3.2804878048780486,2.317073170731707,AutoARIMA
FFRS400X350E/16,0.926829268292683,2.1463414634146343,1.2926829268292683,AutoARIMA
FFRS450X200E,0.0,0.9878048780487805,0.012195121951219513,AutoARIMA
FFRS450X300E,0.07317073170731707,1.8902439024390243,0.07317073170731707,AutoARIMA
FFRS450X350E,0.024390243902439025,0.8658536585365854,0.024390243902439025,AutoARIMA
FFRS450X400E,1.2195121951219512,2.2195121951219514,1.0975609756097562,Prophet
FFRS450X400E/16,0.0975609756097561,1.646341463414634,0.0975609756097561,AutoARIMA
FFRS500X250E,0.12195121951219512,2.2195121951219514,0.4634146341463415,AutoARIMA
FFRS500X250E/16,0.024390243902439025,2.1341463414634148,0.06097560975609756,AutoARIMA
FFRS500X300E,1.4268292682926829,3.207317073170732,1.4268292682926829,AutoARIMA
FFRS500X300E/16,0.34146341463414637,2.292682926829268,0.35365853658536583,AutoARIMA
FFRS500X350E,0.17073170731707318,1.5,0.18292682926829268,AutoARIMA
FFRS500X350E/16,0.04878048780487805,1.451219512195122,0.04878048780487805,AutoARIMA
FFRS500X400E,1.4878048780487805,2.1097560975609757,1.7926829268292683,AutoARIMA
FFRS500X400E/16,2.8780487804878048,3.024390243902439,2.3536585365853657,Prophet
FFRS500X450E,0.024390243902439025,2.1097560975609757,0.024390243902439025,AutoARIMA
FFRS500X450E/16,0.04878048780487805,2.8658536585365852,0.04878048780487805,AutoARIMA
FFRS600X300E,0.17073170731707318,1.3170731707317074,0.4024390243902439,AutoARIMA
FFRS600X300E/16,0.12195121951219512,1.670731707317073,0.17073170731707318,AutoARIMA
FFRS600X400E,1.4390243902439024,2.4390243902439024,1.2195121951219512,Prophet
FFRS600X400E/16,0.07317073170731707,1.3658536585365855,0.24390243902439024,AutoARIMA
FFRS600X450E,0.04878048780487805,0.7560975609756098,0.04878048780487805,AutoARIMA
FFRS600X500E,1.1951219512195121,1.8170731707317074,1.1219512195121952,Prophet
FFRS600X500E/16,0.17073170731707318,3.024390243902439,1.0365853658536586,AutoARIMA
FFRS700X500E,0.07317073170731707,1.353658536585366,0.07317073170731707,AutoARIMA
FFRS700X500E/16,0.12195121951219512,0.8658536585365854,0.12195121951219512,AutoARIMA
FFRS700X600E,0.12195121951219512,1.2926829268292683,0.12195121951219512,AutoARIMA
FFRS700X600E/16,0.07317073170731707,1.9878048780487805,0.07317073170731707,AutoARIMA
FFRS800X500E,0.1951219512195122,1.829268292682927,0.23170731707317074,AutoARIMA
FFRS800X500E/16,0.0,0.9390243902439024,0.0,AutoARIMA
FFRS800X600E,1.170731707317073,2.5121951219512195,0.6341463414634146,Prophet
FFRS800X600E/16,0.04878048780487805,0.7439024390243902,0.04878048780487805,AutoARIMA
FFRS800X700E,0.024390243902439025,1.170731707317073,0.036585365853658534,AutoARIMA
FFRS800X700E/16,0.0,1.0365853658536586,0.0,AutoARIMA
FFRS900X700E,0.0,1.3658536585365855,0.0,AutoARIMA
FFRS900X800E,0.07317073170731707,1.329268292682927,0.07317073170731707,AutoARIMA
FFRS900X800E/16,0.024390243902439025,1.548780487804878,0.024390243902439025,AutoARIMA
FFS050X1000E,2.731707317073171,4.817073170731708,3.926829268292683,AutoARIMA
FFS050X100E,5.7439024390243905,9.939024390243903,6.841463414634147,AutoARIMA
FFS050X150E,7.365853658536586,10.731707317073171,7.573170731707317,AutoARIMA
FFS050X200E,7.121951219512195,10.695121951219512,7.853658536585366,AutoARIMA
FFS050X300E,5.048780487804878,7.817073170731708,6.0,AutoARIMA
FFS050X400E,2.5365853658536586,3.6097560975609757,2.8292682926829267,AutoARIMA
FFS050X500E,4.536585365853658,6.170731707317073,5.195121951219512,AutoARIMA
FFS050X600E,0.2682926829268293,1.8658536585365855,1.353658536585366,AutoARIMA
FFS065X1000E,2.097560975609756,3.182926829268293,2.3292682926829267,AutoARIMA
FFS065X100E,1.829268292682927,2.597560975609756,2.3536585365853657,AutoARIMA
FFS065X150E,0.04878048780487805,0.975609756097561,0.04878048780487805,AutoARIMA
